Date,Percentage_fully_vaccinated
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.1
2021-01-15,0.1
2021-01-16,0.1
2021-01-17,0.1
2021-01-18,0.1
2021-01-19,0.1
2021-01-20,0.1
2021-01-21,0.2
2021-01-22,0.2
2021-01-23,0.3
2021-01-24,0.3
2021-01-25,0.3
2021-01-26,0.4
2021-01-27,0.5
2021-01-28,0.5
2021-01-29,0.6
2021-01-30,0.7000000000000001
2021-01-31,0.7000000000000001
2021-02-01,0.7000000000000001
2021-02-02,0.7000000000000001
2021-02-03,0.7000000000000001
2021-02-04,0.7000000000000001
2021-02-05,0.7000000000000001
2021-02-06,0.7000000000000001
2021-02-07,0.7000000000000001
2021-02-08,0.8
2021-02-09,0.8
2021-02-10,0.8
2021-02-11,0.8999999999999999
2021-02-12,1.0
2021-02-13,1.0999999999999999
2021-02-14,1.2
2021-02-15,1.2
2021-02-16,1.2
2021-02-17,1.3
2021-02-18,1.4000000000000001
2021-02-19,1.5
2021-02-20,1.6
2021-02-21,1.6
2021-02-22,1.7000000000000002
2021-02-23,1.7000000000000002
2021-02-24,1.7000000000000002
2021-02-25,1.7999999999999998
2021-02-26,1.7999999999999998
2021-02-27,1.7999999999999998
2021-02-28,1.7999999999999998
2021-03-01,1.7999999999999998
2021-03-02,1.7999999999999998
2021-03-03,1.7999999999999998
2021-03-04,1.7999999999999998
2021-03-05,1.7999999999999998
2021-03-06,1.7999999999999998
2021-03-07,1.7999999999999998
2021-03-08,1.7999999999999998
2021-03-09,1.7999999999999998
2021-03-10,1.7999999999999998
2021-03-11,1.7999999999999998
2021-03-12,1.7999999999999998
2021-03-13,1.7999999999999998
2021-03-14,1.7999999999999998
2021-03-15,1.7999999999999998
2021-03-16,1.7999999999999998
2021-03-17,1.7999999999999998
2021-03-18,1.7999999999999998
2021-03-19,1.9
2021-03-20,1.9
2021-03-21,1.9
2021-03-22,1.9
2021-03-23,1.9
2021-03-24,1.9
2021-03-25,1.9
2021-03-26,1.9
2021-03-27,1.9
2021-03-28,1.9
2021-03-29,1.9
2021-03-30,1.9
2021-03-31,1.9
2021-04-01,1.9
2021-04-02,1.9
2021-04-03,1.9
2021-04-04,1.9
2021-04-05,1.9
2021-04-06,1.9
2021-04-07,1.9
2021-04-08,1.9
2021-04-09,1.9
2021-04-10,1.9
2021-04-11,2.0
2021-04-12,2.0
2021-04-13,2.0
2021-04-14,2.0
2021-04-15,2.0
2021-04-16,2.0
2021-04-17,2.0
2021-04-18,2.0
2021-04-19,2.0
2021-04-20,2.0
2021-04-21,2.0
2021-04-22,2.0
2021-04-23,2.0
2021-04-24,2.0
2021-04-25,2.1
2021-04-26,2.1
2021-04-27,2.1
2021-04-28,2.1
2021-04-29,2.1
2021-04-30,2.1
2021-05-01,2.1
2021-05-02,2.1
2021-05-03,2.1
2021-05-04,2.1
2021-05-05,2.1
2021-05-06,2.1999999999999997
2021-05-07,2.1999999999999997
2021-05-08,2.1999999999999997
2021-05-09,2.1999999999999997
2021-05-10,2.1999999999999997
2021-05-11,2.1999999999999997
2021-05-12,2.1999999999999997
2021-05-13,2.3
2021-05-14,2.3
2021-05-15,2.4
2021-05-16,2.4
2021-05-17,2.5
2021-05-18,2.6
2021-05-19,2.7
2021-05-20,2.8000000000000003
2021-05-21,3.0
2021-05-22,3.3000000000000003
2021-05-23,3.4000000000000004
2021-05-24,3.4000000000000004
2021-05-25,3.5000000000000004
2021-05-26,3.6999999999999997
2021-05-27,3.9
2021-05-28,4.1000000000000005
2021-05-29,4.3999999999999995
2021-05-30,4.5
2021-05-31,4.6
2021-06-01,4.7
2021-06-02,4.9
2021-06-03,5.1
2021-06-04,5.4
2021-06-05,5.6000000000000005
2021-06-06,5.8999999999999995
2021-06-07,6.0
2021-06-08,6.3
2021-06-09,6.6000000000000005
2021-06-10,7.000000000000001
2021-06-11,7.5
2021-06-12,8.1
2021-06-13,8.6
2021-06-14,8.9
2021-06-15,9.66
2021-06-16,10.51
2021-06-17,11.43
2021-06-18,12.32
2021-06-19,13.23
2021-06-20,13.99
2021-06-21,14.49
2021-06-22,15.36
2021-06-23,16.439999999999998
2021-06-24,17.669999999999998
2021-06-25,19.05
2021-06-26,20.65
2021-06-27,21.82
2021-06-28,23.14
2021-06-29,24.95
2021-06-30,26.740000000000002
2021-07-01,28.59
2021-07-02,29.65
2021-07-03,31.14
2021-07-04,32.550000000000004
2021-07-05,33.67
2021-07-06,35.28
2021-07-07,36.730000000000004
2021-07-08,38.74
2021-07-09,40.43
2021-07-10,42.120000000000005
2021-07-11,43.47
2021-07-12,44.42
2021-07-13,45.73
2021-07-14,46.989999999999995
2021-07-15,48.16
2021-07-16,49.36
2021-07-17,50.690000000000005
2021-07-18,51.739999999999995
2021-07-19,52.43
2021-07-20,53.37
2021-07-21,54.339999999999996
2021-07-22,55.17999999999999
2021-07-23,56.010000000000005
2021-07-24,56.95
2021-07-25,57.709999999999994
2021-07-26,58.160000000000004
2021-07-27,58.77
2021-07-28,59.38
2021-07-29,59.940000000000005
2021-07-30,60.46
2021-07-31,61.019999999999996
2021-08-01,61.44
2021-08-02,61.72
2021-08-03,61.91
2021-08-04,62.3
2021-08-05,62.68
2021-08-06,63.029999999999994
2021-08-07,63.49
2021-08-08,63.849999999999994
2021-08-09,64.05
2021-08-10,64.37
2021-08-11,64.68
2021-08-12,65.0
2021-08-13,65.33
2021-08-14,65.7
2021-08-15,65.99000000000001
2021-08-16,66.17
2021-08-17,66.43
2021-08-18,66.67999999999999
2021-08-19,66.92
2021-08-20,67.17
2021-08-21,67.46
2021-08-22,67.67
2021-08-23,67.81
2021-08-24,68.01
2021-08-25,68.23
2021-08-26,68.44
2021-08-27,68.64
2021-08-28,68.87
2021-08-29,69.05
2021-08-30,69.16
2021-08-31,69.32000000000001
2021-09-01,69.5
2021-09-02,69.67
2021-09-03,69.87
2021-09-04,70.1
2021-09-05,70.28
2021-09-06,70.39
2021-09-07,70.46
2021-09-08,70.66
2021-09-09,70.86
2021-09-10,71.05
2021-09-11,71.28
2021-09-12,71.45
2021-09-13,71.54
2021-09-14,71.7
2021-09-15,71.89999999999999
2021-09-16,72.1
2021-09-17,72.3
2021-09-18,72.53
2021-09-19,72.7
2021-09-20,72.8
2021-09-21,72.97
2021-09-22,73.22
2021-09-23,73.5
2021-09-24,73.78
2021-09-25,74.08
2021-09-26,74.31
2021-09-27,74.44
2021-09-28,74.62
2021-09-29,74.85000000000001
2021-09-30,75.08
2021-10-01,75.27000000000001
2021-10-02,75.51
2021-10-03,75.66000000000001
2021-10-04,75.78
2021-10-05,75.96000000000001
2021-10-06,76.16000000000001
2021-10-07,76.32
2021-10-08,76.52
2021-10-09,76.75999999999999
2021-10-10,76.95
2021-10-11,77.03
2021-10-12,77.06
2021-10-13,77.25999999999999
2021-10-14,77.45
2021-10-15,77.64999999999999
2021-10-16,77.88000000000001
2021-10-17,78.03
2021-10-18,78.11
2021-10-19,78.25999999999999
2021-10-20,78.43
2021-10-21,78.58000000000001
2021-10-22,78.75999999999999
2021-10-23,78.95
2021-10-24,79.08
2021-10-25,79.14999999999999
2021-10-26,79.28
2021-10-27,79.43
2021-10-28,79.57
2021-10-29,79.72
2021-10-30,79.89
2021-10-31,80.01
2021-11-01,80.07
2021-11-02,80.16
2021-11-03,80.27
2021-11-04,80.39
2021-11-05,80.51
2021-11-06,80.57
2021-11-07,80.66
2021-11-08,80.78999999999999
2021-11-09,80.88
2021-11-10,80.99
2021-11-11,81.10000000000001
2021-11-12,81.19
2021-11-13,81.33
2021-11-14,81.42
2021-11-15,81.47
2021-11-16,81.56
2021-11-17,81.66
2021-11-18,81.75
2021-11-19,81.85
2021-11-20,81.96
2021-11-21,82.03
2021-11-22,82.08
2021-11-23,82.16
2021-11-24,82.24000000000001
2021-11-25,82.32000000000001
2021-11-26,82.41000000000001
2021-11-27,82.49
2021-11-28,82.54
2021-11-29,82.57
2021-11-30,82.64
2021-12-01,83.66
2021-12-02,83.71
2021-12-03,83.76
2021-12-04,83.84
2021-12-05,83.89
2021-12-06,83.91
2021-12-07,83.97
2021-12-08,84.03
2021-12-09,84.08
2021-12-10,84.14
2021-12-11,84.21
2021-12-12,84.26
2021-12-13,84.28999999999999
2021-12-14,84.33
2021-12-15,84.39
2021-12-16,84.44
2021-12-17,84.49
2021-12-18,84.54
2021-12-19,84.57000000000001
2021-12-20,84.59
2021-12-21,84.63000000000001
2021-12-22,84.68
2021-12-23,84.74000000000001
2021-12-24,84.77
2021-12-25,84.82
2021-12-26,84.82
2021-12-27,84.82
2021-12-28,84.86
2021-12-29,84.91
2021-12-30,84.94
2021-12-31,84.98
